Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
8/1/2022,-0.485476336,-0.215072824,-1.428078893,-0.826978751,1
8/2/2022,-0.652655186,-0.388998465,-0.414472136,-0.931002534,1
8/3/2022,-0.981419539,-0.487110365,-0.700361221,-1.113044153,1
8/4/2022,-0.899694563,-0.634278215,-1.895897396,-1.19106199,1
8/5/2022,-0.854326325,-0.411296624,-1.869907479,-1.035026316,1
8/6/2022,0.277082949,0.449412319,-1.817927645,-0.202836056,1
8/7/2022,-0.224142857,0.0123684,-1.298129309,-0.618931186,1
8/8/2022,-0.078715903,0.150616986,-1.012240223,-0.488901458,1
8/9/2022,-0.189339825,0.039126191,-0.986250306,-0.59292524,1
8/10/2022,-0.781302107,-0.371159938,-1.350109142,-0.983014425,1
8/11/2022,-0.799635846,-0.397917729,-1.298129309,-1.00902037,1
8/12/2022,-0.881982306,-0.589681897,-1.246149475,-1.139050099,1
8/13/2022,-0.811754759,-0.42467552,-0.934270473,-1.035026316,1
8/14/2022,-0.758928729,-0.335482883,-1.272139392,-0.957008479,1
8/15/2022,-0.856501514,-0.411296624,-1.713967978,-1.035026316,1
8/16/2022,-0.771047642,-0.429135151,-1.428078893,-1.035026316,1
8/17/2022,-0.781302107,-0.326563619,-0.986250306,-0.696949023,1
8/18/2022,-0.913988665,-0.491569997,0.053346367,-0.77496686,1
8/19/2022,-0.883846754,-0.35332141,-1.116199891,-0.800972805,1
8/20/2022,-0.899694563,-0.509408524,-1.03823014,-0.878990642,1
8/21/2022,-0.875767479,-0.388998465,-1.220159558,-1.00902037,1
8/22/2022,-0.913367182,-0.464812206,-1.220159558,-1.087038207,1
8/23/2022,-0.781612848,-0.313184724,-0.908280556,-0.931002534,1
8/24/2022,-0.793731761,-0.317644356,-0.934270473,-0.957008479,1
8/25/2022,-0.945684283,-0.420215888,-0.674371304,-1.035026316,1
8/26/2022,-0.780991365,-0.259669142,-0.128583051,-0.77496686,1
8/27/2022,-0.72474718,-0.30426546,-1.168179724,-0.931002534,1
8/28/2022,-0.753956867,-0.295346197,-1.571023435,-0.917999561,1
8/29/2022,-0.783166555,-0.286426933,-1.973867146,-0.904996588,1
8/30/2022,-0.703927509,-0.326563619,-2.155796564,-0.957008479,1
8/31/2022,-0.879185633,-0.411296624,-0.258532635,-0.904996588,1
9/1/2022,-0.761103918,-0.30426546,-0.102593134,-0.826978751,1
9/2/2022,-0.916474596,-0.424229556,-1.376099059,-1.035026316,1
9/3/2022,-0.85090817,-0.394795986,-1.506048643,-1.00902037,1
9/4/2022,-0.7797484,-0.288210786,-1.584018394,-0.904996588,1
9/5/2022,-0.909327545,-0.413972403,-1.739957895,-1.035026316,1
9/6/2022,-0.86458079,-0.304711423,-1.739957895,-0.931002534,1
9/7/2022,-0.71324975,-0.179395769,-1.791937728,-0.800972805,1
9/8/2022,-0.805539932,-0.313630687,-1.869907479,-0.931002534,1
9/9/2022,-0.758928729,-0.166239855,-1.934882271,-0.787969833,1
9/10/2022,-0.712317526,-0.018849023,-1.999857063,-0.644937132,1
9/11/2022,-0.760171694,-0.208383376,-1.895897396,-0.826978751,1
9/12/2022,-0.735933869,-0.087527353,-1.687978061,-0.722954969,1
9/13/2022,-0.7384198,-0.187423106,-1.791937728,-0.800972805,1
9/14/2022,-0.753335385,-0.187869069,-1.843917562,-0.800972805,1
9/15/2022,-0.799325105,-0.241384651,-1.610008311,-0.852984697,1
9/16/2022,-0.753024643,-0.172706321,-1.765947812,-0.800972805,1
9/17/2022,-0.774155055,-0.248074099,-1.765947812,-0.878990642,1
9/18/2022,-0.802432519,-0.282859227,-1.869907479,-0.904996588,1
9/19/2022,-0.715735681,-0.400147544,-1.895897396,-1.00902037,1
9/20/2022,-0.947548732,-0.471501654,-1.895897396,-1.087038207,1
9/21/2022,-0.979555091,-0.461690464,-1.869907479,-1.087038207,1
9/22/2022,-0.817037362,-0.202139891,-1.843917562,-0.826978751,1
9/23/2022,-1.014979606,-0.560248327,-1.921887313,-1.165056044,1
9/24/2022,-0.950656145,-0.372051864,-1.817927645,-0.983014425,1
9/25/2022,-0.9127457,-0.309171055,-1.402088976,-0.931002534,1
9/26/2022,-0.998199572,-0.549991174,-1.713967978,-1.165056044,1
9/27/2022,-0.78907064,-0.287764822,-1.817927645,-0.904996588,1
9/28/2022,-0.675339304,-0.171814395,0.261265702,-0.384877675,1
9/29/2022,-0.814862173,-0.315860503,-1.869907479,-0.931002534,1
9/30/2022,-0.866134496,-0.397917729,-1.53203856,-1.00902037,1
10/1/2022,-0.812065501,-0.345740036,-0.076603217,-0.384877675,1
10/2/2022,-0.874524513,-0.282413264,-0.830310805,-0.59292524,1
10/3/2022,-0.84290658,-0.252310749,-1.051225099,-0.644937132,1
10/4/2022,-0.811288647,-0.222208235,-1.272139392,-0.696949023,1
10/5/2022,-0.779670714,-0.19210572,-1.493053685,-0.748960914,1
10/6/2022,-0.748052782,-0.162003205,-1.713967978,-0.800972805,1
10/7/2022,-0.756132057,-0.339942515,-1.350109142,-0.957008479,1
10/8/2022,-0.690876372,-0.136583303,-1.895897396,-0.77496686,1
10/9/2022,-0.774465797,-0.224884014,-1.843917562,-0.852984697,1
10/10/2022,-0.704548992,-0.203923744,-1.661988144,-0.826978751,1
10/11/2022,-0.946927249,-0.385430759,-1.791937728,-1.00902037,1
10/12/2022,-0.808025863,-0.326117656,-2.02584698,-0.957008479,1
10/13/2022,-0.863648566,-0.368930122,-2.10381673,-0.983014425,1
10/14/2022,-0.835681844,-0.360902784,-2.181786481,-0.983014425,1
10/15/2022,-0.780991365,-0.340834441,-2.10381673,-0.957008479,1
10/16/2022,-0.926418319,-0.521003567,-2.233766315,-1.139050099,1
10/17/2022,-0.937605008,-0.539734021,-2.155796564,-1.165056044,1
10/18/2022,-0.836614068,-0.397471765,-2.129806647,-1.00902037,1
10/19/2022,-0.778194693,-0.306049313,-1.999857063,-0.931002534,1
10/20/2022,-0.629349584,-0.067013047,-2.077826814,-0.696949023,1
10/21/2022,-0.782545072,-0.281521338,-1.45406881,-0.904996588,1
10/22/2022,-0.691497855,-0.289994638,-1.713967978,-0.904996588,1
10/23/2022,-0.821077,-0.273939964,-1.350109142,-0.904996588,1
10/24/2022,-0.66974596,-0.031335992,-1.999857063,-0.670943077,1
10/25/2022,-0.686525993,0.015936105,-1.428078893,-0.618931186,1
10/26/2022,-0.747431299,-0.120974592,-1.713967978,-0.748960914,1
10/27/2022,-0.684661545,-0.065229194,-1.558028477,-0.696949023,1
10/28/2022,-0.724436439,-0.112501292,-1.739957895,-0.748960914,1
10/29/2022,-0.680311166,-0.035795624,-1.765947812,-0.670943077,1
10/30/2022,-0.744841788,-0.12023132,-1.402088976,-0.748960914,1
10/31/2022,-0.809372409,-0.204667016,-1.03823014,-0.826978751,1
11/2/2022,-0.87390303,-0.289102712,-0.674371304,-0.904996588,1
11/3/2022,-0.868931169,-0.380525164,-0.96026039,-1.00902037,1
11/4/2022,-0.822941448,-0.2565474,-0.856300722,-0.878990642,1
11/5/2022,-0.769183194,-0.137921193,-0.778330972,-0.77496686,1
11/6/2022,-0.774776538,-0.141934862,-0.804320889,-0.77496686,1
11/7/2022,-0.900626787,-0.318982245,-0.830310805,-0.931002534,1
11/8/2022,-0.936983525,-0.416202219,-0.310512469,-1.035026316,1
11/9/2022,-0.828224051,-0.263236847,-0.54442172,-0.878990642,1
11/10/2022,-0.739041282,-0.232465388,-0.700361221,-0.852984697,1
11/11/2022,-0.766386522,-0.195896407,-0.830310805,-0.826978751,1
11/12/2022,-0.677514494,-0.231127498,-0.804320889,-0.852984697,1
11/13/2022,-0.722882732,-0.248074099,-0.804320889,-0.878990642,1
11/14/2022,-0.785652486,-0.1669088,-0.830310805,-0.800972805,1
11/15/2022,-0.778816176,-0.184301364,-0.778330972,-0.800972805,1
11/16/2022,-0.801189553,-0.209275302,-0.54442172,-0.826978751,1
11/17/2022,-0.791556571,-0.256101436,-0.180562885,-0.644937132,1
11/18/2022,-0.812376242,-0.301589681,-0.934270473,-0.931002534,1
11/19/2022,-0.819523293,-0.24539832,-0.882290639,-0.878990642,1
11/20/2022,-0.843139636,-0.29445427,-0.96026039,-0.904996588,1
11/21/2022,-0.821387741,-0.223100161,-0.908280556,-0.852984697,1
11/22/2022,-0.82573812,-0.374727643,-0.804320889,-0.983014425,1
11/23/2022,-0.865823755,-0.314968577,-0.830310805,-0.931002534,1
11/24/2022,-0.814551432,-0.252979694,-0.778330972,-0.878990642,1
11/25/2022,-1.057861913,-0.590573823,-0.908280556,-1.217067935,1
11/26/2022,-1.045432258,-0.45410909,-1.168179724,-1.061032262,1
11/27/2022,-0.850131317,-0.238931854,-0.661376346,-0.852984697,1
11/28/2022,-0.654830375,-0.023754618,-0.154572968,-0.644937132,1
11/29/2022,-0.832885171,-0.199464112,-1.090209974,-0.826978751,1
11/30/2022,-0.833195913,-0.278845559,-1.03823014,-0.904996588,1
12/1/2022,-0.865823755,-0.245844283,-0.674371304,-0.878990642,1
12/2/2022,-0.812686983,-0.218194566,-0.830310805,-0.852984697,1
12/3/2022,-0.807715122,-0.18653118,-0.804320889,-0.800972805,1
12/4/2022,-0.835992585,-0.252533731,-0.908280556,-0.878990642,1
12/5/2022,-0.92890425,-0.358227005,-1.480058726,-0.983014425,1
12/6/2022,-0.875767479,-0.305157387,-0.518431803,-0.931002534,1
12/7/2022,-0.827291827,-0.254317584,-0.596401554,-0.878990642,1
12/8/2022,3.379524639,3.82089398,-0.076603217,5.64850171,1
12/9/2022,0.74972055,1.653512912,-0.024623384,1.539562301,1
12/10/2022,0.00891316,0.768275994,0.625124537,0.629354204,1
12/11/2022,-0.389612628,0.29131837,0.469185036,0.863407715,1
12/12/2022,-0.788138416,-0.185639254,0.313245535,1.097461225,1
12/13/2022,-0.50225637,0.156860471,0.105326201,0.369294748,1
12/14/2022,-0.14925419,0.578295678,0.833043872,1.227490953,1
12/15/2022,-0.64457591,-0.014389391,0.988983373,-0.280853893,1
12/16/2022,-0.010042063,0.745977835,0.469185036,0.083229346,1
12/17/2022,0.908198641,1.843939191,1.118932957,1.90364554,1
12/18/2022,0.667684832,1.555846975,0.573144704,1.331514736,1
12/19/2022,0.924667933,1.863115608,0.365225369,1.929651485,1
12/20/2022,0.692544141,1.586172471,1.118932957,1.409532573,1
12/21/2022,0.521325654,1.379691518,1.872640546,1.149473116,1
12/22/2022,0.589688752,1.46264067,1.09294304,1.149473116,1
12/23/2022,1.07071637,2.035257396,1.820660712,2.267728778,1
12/24/2022,1.045857062,2.008053642,1.300862375,2.215716887,1
12/25/2022,1.564795125,2.627942466,1.222892625,3.38598444,1
12/26/2022,-0.238747701,0.473048367,1.820660712,0.109235291,1
12/27/2022,-0.527737161,0.126089011,0.911013623,-0.046800382,1
12/28/2022,-0.047641767,0.700043627,1.430811959,0.47331853,1
12/29/2022,-0.026200614,0.725909492,0.781064038,0.083229346,1
12/30/2022,0.24072621,1.045219131,1.430811959,0.395300693,1
12/31/2022,-0.059449939,0.685772805,1.404822043,0.031217455,1
1/1/2023,0.123887461,0.905632654,0.962993456,0.447312585,1
1/2/2023,0.048998794,0.815548092,1.09294304,0.161247183,1
1/3/2023,0.298213361,1.112113608,2.49639855,0.395300693,1
1/4/2023,0.895768987,1.827884516,1.924620379,1.851633648,1
1/5/2023,0.773336893,1.680270703,1.768680878,1.565568246,1
1/6/2023,0.481240019,1.332865384,1.846650629,0.915419606,1
1/7/2023,0.704041571,1.599105404,2.340459049,1.435538518,1
1/8/2023,0.521325654,1.381029407,1.58675146,0.993437443,1
1/9/2023,1.217075548,2.213642669,1.404822043,2.605806072,1
1/10/2023,1.36188102,2.386230421,0.677104371,2.943883365,1
1/11/2023,0.880542661,1.810491952,-0.0506133,1.825627703,1
1/12/2023,1.028455546,1.987985299,0.079336284,2.189710942,1
1/13/2023,1.072580818,2.040162991,0.261265702,2.293734724,1
1/14/2023,1.121367211,2.098584168,-0.232542718,2.96988931,1
1/15/2023,1.372756967,2.399163353,-0.778330972,2.96988931,1
1/16/2023,0.794778047,1.707474457,-0.804320889,1.643586083,1
1/17/2023,0.902294555,1.83546589,-0.752341055,1.825627703,1
1/18/2023,0.855683352,1.780166456,-0.726351138,1.72160392,1
1/19/2023,0.491494484,1.344906389,-0.830310805,0.941425551,1
1/20/2023,0.284851483,1.097842786,-0.830310805,0.447312585,1
1/21/2023,0.837038871,1.760098113,-0.622391471,1.72160392,1
1/22/2023,1.055800785,2.019648685,-0.856300722,2.241722833,1
1/23/2023,0.777065789,1.686514187,-0.830310805,1.617580138,1
1/24/2023,0.906334193,1.840817449,-0.804320889,1.851633648,1
1/25/2023,-0.267335905,0.435141497,-0.726351138,-0.098812274,1
1/26/2023,0.342338634,1.166521116,-0.986250306,0.577342313,1
1/27/2023,1.594937036,2.663173558,-0.934270473,3.333972549,1
1/28/2023,1.528127645,2.677890343,-0.752341055,3.542020114,1
1/29/2023,1.465668632,2.50931626,-0.830310805,3.099919038,1
1/30/2023,1.135972055,2.115084806,-0.752341055,2.423764452,1
1/31/2023,0.479375571,1.330189604,-0.700361221,0.811395823,1
2/1/2023,1.133796865,2.113300953,-0.648381388,0.47331853,1
2/2/2023,0.60522582,1.48092516,-0.674371304,0.083229346,1
2/3/2023,0.2015728,0.998392997,-0.492441887,0.343288802,1
2/4/2023,0.205612437,1.003298592,-0.388482219,0.343288802,1
2/5/2023,0.736358672,1.637458237,-0.388482219,0.187253128,1
2/6/2023,0.379316855,1.207549729,-0.570411637,-0.124818219,1
2/7/2023,0.958538741,1.884967804,0.365225369,0.369294748,1
2/8/2023,1.410356671,2.484342321,0.781064038,0.629354204,1
2/9/2023,1.384254397,2.425475181,-0.102593134,0.629354204,1
2/10/2023,1.661435686,2.745230783,-0.128583051,0.785389878,1
2/11/2023,1.267104906,2.259130914,-0.076603217,0.551336367,1
2/12/2023,1.62103931,2.670754932,-0.102593134,0.759383932,1
2/13/2023,1.437391169,2.285442742,-0.0506133,0.65536015,1
2/14/2023,1.686605736,1.319932451,0.209285868,0.88941366,1
2/15/2023,1.737878059,2.206953222,-0.0506133,0.811395823,1
2/16/2023,2.008844521,3.041350336,0.02735645,0.967431497,1
2/17/2023,1.678526461,2.115084806,0.079336284,0.785389878,1
2/18/2023,0.992098807,1.094721044,-0.076603217,0.447312585,1
2/19/2023,0.929018312,1.339108868,-0.128583051,0.915419606,1
2/20/2023,0.871531161,1.11657324,-0.076603217,0.499324476,1
2/21/2023,1.449199341,1.459964891,-0.024623384,1.149473116,1
2/22/2023,1.241002633,1.832790111,-0.024623384,0.551336367,1
2/23/2023,0.835795906,1.158047816,-0.258532635,0.577342313,1
2/24/2023,1.247838942,1.426963615,0.053346367,1.097461225,1
2/25/2023,1.375242898,1.694987488,0.079336284,0.629354204,1
2/26/2023,1.157723949,1.912171558,-0.076603217,0.499324476,1
2/27/2023,0.888311195,0.962269979,-0.128583051,0.317282856,1
2/28/2023,1.291653473,1.542468079,0.183295951,0.577342313,1
3/1/2023,1.032805925,1.362744917,0.209285868,0.967431497,1
3/2/2023,0.838903319,1.492966166,0.157306034,1.227490953,1
3/3/2023,1.316823523,1.249470268,0.235275785,0.733377986,1
3/4/2023,2.498262155,3.071675833,0.52116487,4.296192537,1
3/5/2023,2.314924756,2.702864281,0.547154787,3.56802606,1
3/6/2023,2.101445445,2.405852801,0.313245535,2.995895256,1
3/7/2023,3.289409646,3.473042697,0.599134621,5.076370906,1
3/8/2023,1.825817863,2.162802867,0.391215286,2.527788235,1
3/9/2023,1.887344651,2.234156976,0.52116487,2.657817963,1
3/10/2023,1.670757927,2.025000243,0.599134621,2.241722833,1
3/11/2023,1.80220152,2.459814346,0.703094288,3.099919038,1
3/12/2023,1.693131304,2.417893807,0.547154787,3.021901202,1
3/13/2023,1.170464345,1.286039249,0.651114454,0.811395823,1
3/14/2023,1.078795645,1.355163543,0.703094288,0.941425551,1
3/15/2023,0.516664534,0.63314915,0.391215286,0.005211509,1
3/16/2023,-0.010974287,0.341489228,0.313245535,-0.306859839,1
3/17/2023,-0.318297487,-0.129001929,0.313245535,-0.696949023,1
3/18/2023,-0.167898672,-0.095108727,0.339235452,-0.566919295,1
3/19/2023,-0.028997286,-0.21462686,0.079336284,-0.462895512,1
3/20/2023,1.009811064,0.890469906,0.339235452,0.421306639,1
3/21/2023,0.305671154,0.456993693,0.365225369,-0.17683011,1
3/22/2023,0.346378271,-0.652116743,0.313245535,-0.020794437,1
3/23/2023,0.116429668,0.035558485,0.339235452,-0.332865784,1
3/24/2023,0.154961596,0.099777183,0.391215286,-0.306859839,1
3/25/2023,-0.015635408,-0.269034369,0.339235452,-0.436889567,1
3/26/2023,-0.353100519,-0.28464308,0.235275785,-0.35887173,1
3/27/2023,-0.514375282,-0.091986985,0.02735645,-0.722954969,1
3/28/2023,0.407905059,-0.636508031,0.729084205,-0.098812274,1
3/29/2023,0.085666274,-0.033565808,0.469185036,-0.098812274,1
3/30/2023,0.110214841,-0.0772702,0.365225369,-0.332865784,1
3/31/2023,-0.220724702,-0.487110365,0.183295951,-0.488901458,1
4/1/2023,-0.032415441,-0.359564895,-0.128583051,-0.462895512,1
4/2/2023,-0.286912611,-0.502273113,-0.284522552,-0.670943077,1
4/3/2023,-0.066286248,-0.850570359,-0.258532635,-0.488901458,1
4/4/2023,-0.50691749,-0.755580201,-0.206552801,-0.228842002,1
4/5/2023,-0.275725922,-0.540625947,0.02735645,-0.514907404,1
4/6/2023,-0.402819136,-0.346631963,0.02735645,-0.462895512,1
4/7/2023,-0.641468497,-0.190544849,-0.024623384,-0.696949023,1
4/8/2023,-0.320783418,-0.012159576,0.02735645,-0.644937132,1
4/9/2023,-0.717600129,0.921687329,-0.154572968,0.265270965,1
